Insect species,Plant species,Pollen grains
Episyrphus balteatus,Calluna vulgaris,226
Bombus lucorum/terrestris,Calluna vulgaris,234
Apis mellifera,Erica cinerea,247
Apis mellifera,Erica cinerea,262
Vespula rufa,Calluna vulgaris,264
Episyrphus balteatus,Calluna vulgaris,266
Episyrphus balteatus,Calluna vulgaris,266
Episyrphus balteatus,Calluna vulgaris,269
Bombus lucorum/terrestris,Calluna vulgaris,278
Apis mellifera,Calluna vulgaris,289
Bombus jonellus,Calluna vulgaris,292
Apis mellifera,Erica cinerea,312
Apis mellifera,Erica cinerea,326
Lasioglossum prasinum,Erica cinerea,329
Sarcophaga indet.,Calluna vulgaris,330
Metasyrphus luniger,Calluna vulgaris,337
Apis mellifera,Erica cinerea,345
Bombus lucorum/terrestris,Calluna vulgaris,349
Apis mellifera,Calluna vulgaris,375
Bombus jonellus,Calluna vulgaris,381
Bombus lucorum/terrestris,Erica tetralix,398
Apis mellifera,Calluna vulgaris,416
Apis mellifera,Calluna vulgaris,421
Apis mellifera,Erica cinerea,430
Apis mellifera,Calluna vulgaris,430
Apis mellifera,Erica cinerea,435
Apis mellifera,Calluna vulgaris,439
Apis mellifera,Calluna vulgaris,445
Apis mellifera,Calluna vulgaris,446
Bombus jonellus,Erica cinerea,454
Apis mellifera,Calluna vulgaris,458
Bombus lucorum/terrestris,Erica tetralix,467
Bombus lucorum/terrestris,Erica cinerea,467
Apis mellifera,Calluna vulgaris,475
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Bombus lucorum/terrestris,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,476.7
Apis mellifera,Calluna vulgaris,478
Apis mellifera,Calluna vulgaris,478
Apis mellifera,Calluna vulgaris,551
Apis mellifera,Erica cinerea,563
Apis mellifera,Calluna vulgaris,579
Apis mellifera,Calluna vulgaris,604
Bombus lucorum/terrestris,Erica tetralix,608
Apis mellifera,Calluna vulgaris,618
Apis mellifera,Calluna vulgaris,625.3
Apis mellifera,Calluna vulgaris,625.3
Apis mellifera,Calluna vulgaris,625.3
Apis mellifera,Calluna vulgaris,625.3
Apis mellifera,Calluna vulgaris,625.3
Apis mellifera,Calluna vulgaris,625.3
Apis mellifera,Calluna vulgaris,625.3
Apis mellifera,Erica cinerea,626
Apis mellifera,Calluna vulgaris,629
Bombus lucorum/terrestris,Calluna vulgaris,630
Bombus lucorum/terrestris,Ulex minor,640
Apis mellifera,Erica cinerea,678
Apis mellifera,Calluna vulgaris,680
Apis mellifera,Calluna vulgaris,690
Apis mellifera,Erica cinerea,692
Andrena ovatula,Calluna vulgaris,703
Apis mellifera,Calluna vulgaris,704
Bombus lucorum/terrestris,Calluna vulgaris,710
Apis mellifera,Calluna vulgaris,725
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,796.3
Apis mellifera,Calluna vulgaris,820
Apis mellifera,Calluna vulgaris,824
Bombus lucorum/terrestris,Calluna vulgaris,832
Apis mellifera,Calluna vulgaris,860
Apis mellifera,Calluna vulgaris,875
Apis mellifera,Calluna vulgaris,884
Apis mellifera,Calluna vulgaris,909
Lasioglossum indet.,Erica cinerea,956
Apis mellifera,Erica cinerea,1005
Apis mellifera,Calluna vulgaris,1014
Apis mellifera,Calluna vulgaris,1017.9
Apis mellifera,Calluna vulgaris,1017.9
Apis mellifera,Calluna vulgaris,1017.9
Apis mellifera,Calluna vulgaris,1017.9
Apis mellifera,Calluna vulgaris,1017.9
Bombus lucorum/terrestris,Calluna vulgaris,1031.5
Apis mellifera,Calluna vulgaris,1043
Apis mellifera,Calluna vulgaris,1067
Apis mellifera,Calluna vulgaris,1146
Apis mellifera,Calluna vulgaris,1187
Bombus pascuorum,Erica tetralix,1199
Bombus lucorum/terrestris,Calluna vulgaris,1227
Lasioglossum prasinum,Erica cinerea,1415
Lasioglossum prasinum,Erica cinerea,1432
Bombus lucorum/terrestris,Calluna vulgaris,1482
Bombus lucorum/terrestris,Calluna vulgaris,1509
Bombus lucorum/terrestris,Calluna vulgaris,1527
Lasioglossum indet.,Calluna vulgaris,1538
Bombus lucorum/terrestris,Calluna vulgaris,1586
Bombus lucorum/terrestris,Calluna vulgaris,1708
Apis mellifera,Calluna vulgaris,2015
Apis mellifera,Calluna vulgaris,2253
Lasioglossum prasinum,Erica cinerea,2276
Apis mellifera,Calluna vulgaris,2276
Andrena fuscipes,Calluna vulgaris,2904
Formica rufa,Ulex europaeus,3153
Colletes succinctus,Calluna vulgaris,3301
Andrena dorsata,Ulex minor,4775
Colletes succinctus,Calluna vulgaris,5152
Andrena fuscipes,Calluna vulgaris,5708
Andrena fuscipes,Calluna vulgaris,9835
Colletes succinctus,Calluna vulgaris,10152
Formica rufa,Ulex europaeus,5
Formica rufa,Ulex europaeus,5
Apis mellifera,Erica cinerea,5
Apis mellifera,Ulex minor,5
Apis mellifera,Erica tetralix,5
Apis mellifera,Ulex minor,5
Philanthus triangulum,Ulex europaeus,5
Apis mellifera,Calluna vulgaris,5
Metasyrphus corollae,Calluna vulgaris,5
Episyrphus balteatus,Calluna vulgaris,5
Apis mellifera,Erica tetralix,5
Metasyrphus corollae,Ulex europaeus,6
Metasyrphus corollae,Erica cinerea,6
Episyrphus balteatus,Calluna vulgaris,6
Apis mellifera,Erica cinerea,6
Apis mellifera,Calluna vulgaris,6
Apis mellifera,Erica tetralix,6.2
Apis mellifera,Erica tetralix,6.2
Apis mellifera,Erica tetralix,6.2
Apis mellifera,Erica tetralix,6.2
Apis mellifera,Erica tetralix,6.2
Apis mellifera,Erica tetralix,6.2
Andrena fuscipes,Erica cinerea,7
Apis mellifera,Erica tetralix,7
Apis mellifera,Calluna vulgaris,7
Episyrphus balteatus,Calluna vulgaris,7
Episyrphus balteatus,Erica cinerea,7
Apis mellifera,Erica cinerea,8
Apis mellifera,Erica tetralix,8
Formica rufa,Ulex europaeus,9
Apis mellifera,Ulex minor,9
Apis mellifera,Ulex minor,9
Apis mellifera,Calluna vulgaris,10
Apis mellifera,Calluna vulgaris,10
Apis mellifera,Ulex minor,10
Apis mellifera,Calluna vulgaris,10
Apis mellifera,Erica tetralix,10
Apis mellifera,Erica tetralix,10
Bombus humilis,Calluna vulgaris,11
Apis mellifera,Calluna vulgaris,11
Apis mellifera,Erica cinerea,12
Apis mellifera,Erica cinerea,12
Bombus jonellus,Calluna vulgaris,12
Apis mellifera,Erica tetralix,12
Apis mellifera,Erica tetralix,12
Apis mellifera,Erica tetralix,12
Apis mellifera,Erica tetralix,12
Apis mellifera,Calluna vulgaris,13
Apis mellifera,Erica tetralix,13
Apis mellifera,Calluna vulgaris,14
Apis mellifera,Erica cinerea,16
Episyrphus balteatus,Calluna vulgaris,16
Metasyrphus corollae,Erica cinerea,16
Apis mellifera,Erica tetralix,16.1
Apis mellifera,Erica tetralix,16.1
Apis mellifera,Erica tetralix,16.1
Apis mellifera,Erica tetralix,16.1
Apis mellifera,Erica tetralix,16.1
Apis mellifera,Erica tetralix,16.1
Apis mellifera,Erica tetralix,16.1
Apis mellifera,Erica cinerea,17
Apis mellifera,Calluna vulgaris,17
Syritta pipiens,Calluna vulgaris,18
Scathophaga stercoraria,Calluna vulgaris,19
Apis mellifera,Erica tetralix,19.4
Apis mellifera,Erica tetralix,19.4
Episyrphus balteatus,Calluna vulgaris,20
Apis mellifera,Erica cinerea,21
Rhagonycha fulva,Calluna vulgaris,21
Metasyrphus corollae,Calluna vulgaris,21
Apis mellifera,Calluna vulgaris,21
Scathophaga stercoraria,Calluna vulgaris,23
Apis mellifera,Erica tetralix,23
Bombus jonellus,Calluna vulgaris,23
Colletes succinctus,Erica cinerea,24
Bombus jonellus,Erica cinerea,24
Apis mellifera,Calluna vulgaris,24
Episyrphus balteatus,Calluna vulgaris,24
Apis mellifera,Erica cinerea,25
Apis mellifera,Erica tetralix,26
Philanthus triangulum,Erica cinerea,30
Bombus jonellus,Erica cinerea,31
Epistrophe grossulariae,Calluna vulgaris,32
Apis mellifera,Calluna vulgaris,33
Rhagonycha fulva,Calluna vulgaris,34
Apis mellifera,Ulex minor,34
Apis mellifera,Erica cinerea,35
Apis mellifera,Erica cinerea,36
Apis mellifera,Erica cinerea,36
Apis mellifera,Calluna vulgaris,36
Apis mellifera,Calluna vulgaris,36
Apis mellifera,Calluna vulgaris,36
Colletes succinctus,Calluna vulgaris,37
Apis mellifera,Calluna vulgaris,37
Apis mellifera,Calluna vulgaris,37
Apis mellifera,Calluna vulgaris,37
Apis mellifera,Calluna vulgaris,37
Apis mellifera,Erica cinerea,38
Apis mellifera,Erica cinerea,39
Apis mellifera,Erica cinerea,40
Apis mellifera,Erica cinerea,41
Apis mellifera,Erica cinerea,41
Apis mellifera,Erica tetralix,41
Apis mellifera,Erica cinerea,41
Apis mellifera,Erica cinerea,41
Apis mellifera,Erica cinerea,41
Apis mellifera,Erica cinerea,41
Apis mellifera,Erica cinerea,41
Apis mellifera,Calluna vulgaris,42
Apis mellifera,Erica cinerea,43
Apis mellifera,Calluna vulgaris,43
Bombus jonellus,Erica cinerea,46
Apis mellifera,Erica cinerea,49
Apis mellifera,Erica cinerea,52
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,52.8
Apis mellifera,Erica cinerea,54.5
Apis mellifera,Erica cinerea,54.5
Apis mellifera,Erica cinerea,54.5
Apis mellifera,Erica cinerea,54.5
Apis mellifera,Erica cinerea,57
Apis mellifera,Calluna vulgaris,60
Philanthus triangulum,Calluna vulgaris,61
Apis mellifera,Erica cinerea,62
Calliphora vicina,Calluna vulgaris,63
Apis mellifera,Erica cinerea,67
Musca autumnalis,Calluna vulgaris,67
Episyrphus balteatus,Calluna vulgaris,67
Apis mellifera,Erica cinerea,68
Apis mellifera,Ulex minor,73.3
Apis mellifera,Ulex minor,73.3
Apis mellifera,Erica cinerea,78
Andrena fuscipes,Calluna vulgaris,82
Bombus humilis,Ulex minor,84
Rhagonycha fulva,Calluna vulgaris,86
Episyrphus balteatus,Calluna vulgaris,91
Rhagonycha fulva,Calluna vulgaris,96
Bombus jonellus,Erica cinerea,96
Metasyrphus corollae,Calluna vulgaris,96
Andrena fuscipes,Calluna vulgaris,97
Apis mellifera,Erica cinerea,108
Apis mellifera,Erica cinerea,110.4
Apis mellifera,Erica cinerea,110.4
Apis mellifera,Erica cinerea,111
Metasyrphus corollae,Calluna vulgaris,112
Apis mellifera,Erica cinerea,113
Andrena fuscipes,Calluna vulgaris,120
Apis mellifera,Erica cinerea,120
Apis mellifera,Erica cinerea,124
Bombus humilis,Erica cinerea,128
Apis mellifera,Erica cinerea,128
Apis mellifera,Erica cinerea,128
Episyrphus balteatus,Calluna vulgaris,129
Apis mellifera,Erica cinerea,134
Episyrphus balteatus,Calluna vulgaris,149
Apis mellifera,Erica tetralix,155
Apis mellifera,Erica cinerea,155
Apis mellifera,Erica cinerea,155
Apis mellifera,Erica cinerea,155
Apis mellifera,Erica cinerea,155
Apis mellifera,Erica cinerea,155.5
Apis mellifera,Erica tetralix,161
Apis mellifera,Calluna vulgaris,173
Apis mellifera,Calluna vulgaris,173
Apis mellifera,Erica cinerea,174
Apis mellifera,Erica cinerea,179
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Apis mellifera,Erica cinerea,179.1
Episyrphus balteatus,Calluna vulgaris,180
Metasyrphus corollae,Ulex europaeus,186
Apis mellifera,Erica cinerea,190
Apis mellifera,Calluna vulgaris,194
Apis mellifera,Erica cinerea,198
Apis mellifera,Erica cinerea,201
Apis mellifera,Erica cinerea,201
Apis mellifera,Erica cinerea,207
Apis mellifera,Calluna vulgaris,212
Apis mellifera,Erica cinerea,215.5
Apis mellifera,Erica cinerea,215.5
Andrena fuscipes,Erica cinerea,232
Apis mellifera,Calluna vulgaris,261
Sericomyia silentis,Calluna vulgaris,262
Apis mellifera,Calluna vulgaris,286.1
Apis mellifera,Calluna vulgaris,286.1
Helophilus pendulus,Calluna vulgaris,290
Apis mellifera,Erica cinerea,315
Apis mellifera,Calluna vulgaris,321
Apis mellifera,Calluna vulgaris,329
Apis mellifera,Calluna vulgaris,329
Apis mellifera,Calluna vulgaris,362
Philanthus triangulum,Calluna vulgaris,390
Apis mellifera,Calluna vulgaris,392
Apis mellifera,Calluna vulgaris,400
Apis mellifera,Erica cinerea,452
Eristalis pertinax,Calluna vulgaris,459
Apis mellifera,Erica cinerea,475
Apis mellifera,Calluna vulgaris,482
Apis mellifera,Calluna vulgaris,526.6
Apis mellifera,Calluna vulgaris,526.6
Apis mellifera,Calluna vulgaris,526.6
Apis mellifera,Calluna vulgaris,526.6
Apis mellifera,Calluna vulgaris,526.6
Apis mellifera,Calluna vulgaris,526.6
Apis mellifera,Calluna vulgaris,529
Apis mellifera,Ulex minor,540
Apis mellifera,Calluna vulgaris,574.5
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Calluna vulgaris,599.2
Apis mellifera,Erica cinerea,625.5
Apis mellifera,Erica cinerea,625.5
Apis mellifera,Erica cinerea,625.5
Apis mellifera,Erica cinerea,625.5
Apis mellifera,Erica cinerea,625.5
Apis mellifera,Erica cinerea,625.5
Apis mellifera,Erica cinerea,625.5
Apis mellifera,Calluna vulgaris,638
Bombus humilis,Ulex minor,648
Apis mellifera,Calluna vulgaris,658
Bombus lucorum/terrestris,Calluna vulgaris,662
Apis mellifera,Calluna vulgaris,751
Bombus humilis,Ulex minor,766
Bombus jonellus,Calluna vulgaris,792
Apis mellifera,Calluna vulgaris,806
Apis mellifera,Calluna vulgaris,820
Apis mellifera,Calluna vulgaris,826.6
Apis mellifera,Calluna vulgaris,826.6
Apis mellifera,Calluna vulgaris,826.6
Apis mellifera,Calluna vulgaris,841
Bombus lucorum/terrestris,Calluna vulgaris,856
Bombus humilis,Ulex minor,890
Apis mellifera,Calluna vulgaris,957
Apis mellifera,Calluna vulgaris,977
Apis mellifera,Calluna vulgaris,998
Bombus lucorum/terrestris,Calluna vulgaris,1036
Apis mellifera,Calluna vulgaris,1075
Apis mellifera,Calluna vulgaris,1138
Bombus humilis,Calluna vulgaris,1191
Apis mellifera,Calluna vulgaris,1215
Apis mellifera,Erica cinerea,1292
Apis mellifera,Calluna vulgaris,1293
Apis mellifera,Calluna vulgaris,1615
Bombus lucorum/terrestris,Calluna vulgaris,2063
Apis mellifera,Erica cinerea,4962
Apis mellifera,Erica tetralix,5
Lasioglossum prasinum,Erica cinerea,5
Bombus lucorum/terrestris,Ulex minor,5
Bombus lapidarius,Erica cinerea,5
Apis mellifera,Calluna vulgaris,5
Andrena ovatula,Erica cinerea,5
Apis mellifera,Ulex minor,5
Metasyrphus corollae,Ulex minor,5
Apis mellifera,Erica cinerea,5
Episyrphus balteatus,Ulex minor,5
Apis mellifera,Erica tetralix,5
Myopa fasciata,Hypochaeris glabra,5
Apis mellifera,Ulex gallii,5
Metasyrphus corollae,Calluna vulgaris,5
Bombus pascuorum,Erica cinerea,5
Apis mellifera,Calluna vulgaris,5
Bombus lucorum/terrestris,Erica cinerea,5
Bombus humilis,Erica cinerea,5
Apis mellifera,Ulex minor,5
Rhingia campestris,Ulex gallii,5
Bombus pascuorum,Erica tetralix,5
Eristalis tenax,Leontodon saxatilis,5
Bombus pascuorum,Ulex minor,5
Apis mellifera,Ulex gallii,5
Bombus lucorum/terrestris,Ulex europaeus,5
Apis mellifera,Erica tetralix,6
Apis mellifera,Erica tetralix,6
Andrena ovatula,Ulex europaeus,6
Andrena ovatula,Erica cinerea,6
Bombus lucorum/terrestris,Calluna vulgaris,6
Metasyrphus corollae,Ulex minor,6
Bombus lucorum/terrestris,Erica cinerea,6
Metasyrphus corollae,Hypochaeris glabra,6
Apis mellifera,Erica cinerea,6
Apis mellifera,Ulex minor,6
Apis mellifera,Calluna vulgaris,6
Apis mellifera,Erica tetralix,6
Bombus lucorum/terrestris,Erica tetralix,6
Apis mellifera,Hypochaeris glabra,6
Bombus jonellus,Erica cinerea,6
Bombus jonellus,Erica tetralix,6
Bombus humilis,Calluna vulgaris,6
Apis mellifera,Calluna vulgaris,6.8
Apis mellifera,Calluna vulgaris,6.8
Apis mellifera,Calluna vulgaris,6.8
Apis mellifera,Ulex minor,7
Metasyrphus corollae,Hypochaeris glabra,7
Apis mellifera,Erica cinerea,7
Bombus lapidarius,Erica tetralix,7
Bombus lucorum/terrestris,Ulex gallii,7
Apis mellifera,Calluna vulgaris,7
Bombus humilis,Ulex minor,7
Metasyrphus corollae,Calluna vulgaris,7
Metasyrphus corollae,Calluna vulgaris,7
Bombus pascuorum,Erica tetralix,7
Bombus jonellus,Erica tetralix,7
Bombus lucorum/terrestris,Ulex minor,7.8
Bombus jonellus,Ulex minor,8
Apis mellifera,Calluna vulgaris,8
Bombus lucorum/terrestris,Erica cinerea,8
Bombus lucorum/terrestris,Ulex minor,8
Apis mellifera,Ulex minor,8
Metasyrphus corollae,Calluna vulgaris,8
Bombus jonellus,Erica tetralix,8
Apis mellifera,Erica cinerea,8
Episyrphus balteatus,Calluna vulgaris,8
Apis mellifera,Ulex minor,8
Apis mellifera,Erica cinerea,8
Bombus lucorum/terrestris,Calluna vulgaris,8
Apis mellifera,Erica cinerea,8
Bombus pascuorum,Ulex gallii,8
Bombus pascuorum,Calluna vulgaris,8
Bombus lucorum/terrestris,Ulex minor,8
Eristalis tenax,Calluna vulgaris,8
Eristalis tenax,Erica cinerea,8
Bombus lucorum/terrestris,Erica cinerea,8
Apis mellifera,Erica cinerea,9
Bombus jonellus,Erica tetralix,9
Metasyrphus corollae,Ulex minor,9
Bombus lucorum/terrestris,Erica tetralix,9
Bombus lucorum/terrestris,Ulex minor,9
Metasyrphus corollae,Erica cinerea,9
Rhagonycha fulva,Calluna vulgaris,9
Apis mellifera,Ulex minor,9
Metasyrphus corollae,Calluna vulgaris,9
Apis mellifera,Calluna vulgaris,9
Metasyrphus corollae,Ulex minor,9
Colletes succinctus,Erica cinerea,9
Bombus lapidarius,Ulex minor,10
Bombus lucorum/terrestris,Calluna vulgaris,10
Metasyrphus corollae,Calluna vulgaris,10
Bombus lucorum/terrestris,Calluna vulgaris,10
Bombus pascuorum,Calluna vulgaris,10
Episyrphus balteatus,Calluna vulgaris,10
Eumerus strigatus,Calluna vulgaris,10
Bombus pascuorum,Erica tetralix,10
Bombus lucorum/terrestris,Ulex gallii,10
Syritta pipiens,Calluna vulgaris,10
Apis mellifera,Ulex minor,11
Bombus lapidarius,Erica cinerea,11
Apis mellifera,Erica tetralix,11
Bombus lucorum/terrestris,Erica cinerea,11
Bombus pascuorum,Calluna vulgaris,11
Bombus humilis,Calluna vulgaris,11
Apis mellifera,Ulex minor,12
Bombus lapidarius,Erica cinerea,12
Episyrphus balteatus,Calluna vulgaris,12
Bombus lucorum/terrestris,Erica tetralix,12
Bombus lucorum/terrestris,Calluna vulgaris,12
Bombus lucorum/terrestris,Erica cinerea,12
Bombus lucorum/terrestris,Ulex gallii,12
Apis mellifera,Calluna vulgaris,12
Bombus lucorum/terrestris,Calluna vulgaris,12
Bombus humilis,Erica tetralix,12
Bombus pascuorum,Erica cinerea,12
Bombus lucorum/terrestris,Ulex gallii,12
Rhingia campestris,Calluna vulgaris,12
Bombus lucorum/terrestris,Erica cinerea,12
Bombus humilis,Erica tetralix,12
Bombus jonellus,Ulex minor,12
Apis mellifera,Erica cinerea,12
Bombus lucorum/terrestris,Calluna vulgaris,13
Episyrphus balteatus,Calluna vulgaris,13
Apis mellifera,Calluna vulgaris,13
Bombus pascuorum,Calluna vulgaris,13
Bombus lapidarius,Calluna vulgaris,13
Apis mellifera,Ulex gallii,13
Colletes succinctus,Erica tetralix,13
Apis mellifera,Erica cinerea,13.4
Apis mellifera,Erica cinerea,13.4
Apis mellifera,Erica cinerea,13.4
Apis mellifera,Ulex minor,14
Bombus jonellus,Erica tetralix,14
Bombus pascuorum,Erica tetralix,14
Bombus lucorum/terrestris,Erica tetralix,14
Bombus lucorum/terrestris,Erica cinerea,14
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Calluna vulgaris,14.5
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Bombus lucorum/terrestris,Erica tetralix,15
Apis mellifera,Calluna vulgaris,15
Apis mellifera,Ulex minor,15
Colletes succinctus,Ulex minor,15
Bombus jonellus,Erica cinerea,16
Andrena ovatula,Ulex europaeus,16
Metasyrphus corollae,Calluna vulgaris,16
Bombus pascuorum,Calluna vulgaris,16
Bombus humilis,Calluna vulgaris,16
Bombus lucorum/terrestris,Erica cinerea,16
Bombus lucorum/terrestris,Erica cinerea,16
Bombus lucorum/terrestris,Erica cinerea,16
Bombus lucorum/terrestris,Calluna vulgaris,17
Apis mellifera,Ulex gallii,17
Apis mellifera,Ulex gallii,17
Bombus pascuorum,Erica tetralix,17
Apis mellifera,Calluna vulgaris,17
Bombus lucorum/terrestris,Calluna vulgaris,18
Bombus lucorum/terrestris,Calluna vulgaris,18
Metasyrphus corollae,Calluna vulgaris,18
Bombus lucorum/terrestris,Calluna vulgaris,18
Sarcophaga variegata,Calluna vulgaris,18
Bombus lucorum/terrestris,Calluna vulgaris,18
Episyrphus balteatus,Calluna vulgaris,18
Bombus humilis,Ulex minor,18
Colletes succinctus,Erica cinerea,18
Bombus pascuorum,Hypochaeris glabra,18
Bombus lucorum/terrestris,Erica cinerea,18
Bombus humilis,Erica tetralix,19
Inachis io,Calluna vulgaris,19
Apis mellifera,Calluna vulgaris,19
Bombus pascuorum,Ulex gallii,19
Bombus pascuorum,Calluna vulgaris,19
Apis mellifera,Ulex minor,20
Apis mellifera,Erica cinerea,20
Bombus jonellus,Erica cinerea,20
Apis mellifera,Calluna vulgaris,20
Apis mellifera,Erica cinerea,20
Myopa fasciata,Calluna vulgaris,20
Bombus humilis,Erica tetralix,20
Bombus lucorum/terrestris,Erica cinerea,20
Bombus lucorum/terrestris,Calluna vulgaris,20
Apis mellifera,Erica cinerea,21
Bombus lucorum/terrestris,Ulex minor,21
Metasyrphus corollae,Hypochaeris glabra,21
Metasyrphus corollae,Calluna vulgaris,21
Metasyrphus corollae,Calluna vulgaris,21
Andrena ovatula,Erica tetralix,21
Bombus lucorum/terrestris,Calluna vulgaris,21
Bombus lucorum/terrestris,Ulex minor,21
Metasyrphus corollae,Calluna vulgaris,22
Apis mellifera,Erica tetralix,22
Metasyrphus corollae,Calluna vulgaris,22
Bombus pascuorum,Erica cinerea,22
Rhagonycha fulva,Calluna vulgaris,23
Apis mellifera,Erica cinerea,23
Bombus jonellus,Ulex europaeus,24
Bombus lucorum/terrestris,Erica cinerea,24
Apis mellifera,Calluna vulgaris,24
Apis mellifera,Calluna vulgaris,24
Colletes succinctus,Ulex minor,24
Bombus lucorum/terrestris,Calluna vulgaris,24
Vespula rufa,Calluna vulgaris,25
Bombus lucorum/terrestris,Calluna vulgaris,25
Pollenia rudis,Calluna vulgaris,25
Bombus pascuorum,Ulex gallii,25
Bombus lucorum/terrestris,Calluna vulgaris,25
Bombus lucorum/terrestris,Calluna vulgaris,26
Apis mellifera,Ulex minor,27
Metasyrphus corollae,Ulex minor,27
Bombus humilis,Ulex minor,27
Bombus lucorum/terrestris,Calluna vulgaris,27
Bombus pascuorum,Ulex minor,27
Metasyrphus corollae,Calluna vulgaris,27
Bombus lucorum/terrestris,Ulex gallii,27
Apis mellifera,Calluna vulgaris,27
Colletes succinctus,Ulex minor,27
Episyrphus balteatus,Calluna vulgaris,27
Bombus lucorum/terrestris,Calluna vulgaris,28
Bombus lucorum/terrestris,Erica tetralix,28
Bombus lucorum/terrestris,Erica cinerea,28
Bombus lapidarius,Erica cinerea,29
Metasyrphus corollae,Calluna vulgaris,29
Apis mellifera,Erica cinerea,29
Bombus pascuorum,Ulex minor,29
Bombus lucorum/terrestris,Erica cinerea,29
Bombus lapidarius,Erica cinerea,30
Bombus lucorum/terrestris,Calluna vulgaris,30
Bombus lucorum/terrestris,Calluna vulgaris,30
Bombus lucorum/terrestris,Calluna vulgaris,30
Apis mellifera,Erica cinerea,30
Bombus humilis,Calluna vulgaris,30
Bombus lapidarius,Calluna vulgaris,30
Apis mellifera,Ulex minor,31
Bombus lucorum/terrestris,Calluna vulgaris,31
Episyrphus balteatus,Calluna vulgaris,31
Bombus humilis,Erica cinerea,31
