habitat,lower,upper,weight
CP,01PLANT.zCROP Triticale,04PRIMARYPARA.Ephedrus plagiator,8567.602883
CP,01PLANT.zCROP Wheat,04PRIMARYPARA.Ephedrus plagiator,49092.00207
CP,03APH.Sitobion avenae,04PRIMARYPARA.Ephedrus plagiator,99079.5903
GM,01PLANT.Grass sp,04PRIMARYPARA.Ephedrus plagiator,844.1703836
GM,03APH.Sitobion avenae,04PRIMARYPARA.Ephedrus plagiator,844.1703836
MH,01PLANT.Grass sp,04PRIMARYPARA.Ephedrus plagiator,437.6397818
MH,03APH.Sitobion avenae,04PRIMARYPARA.Ephedrus plagiator,437.6397818
NH,01PLANT.Grass sp,04PRIMARYPARA.Ephedrus plagiator,943.4501335
NH,03APH.Sitobion avenae,04PRIMARYPARA.Ephedrus plagiator,943.4501336
NL,01PLANT.Grass sp,04PRIMARYPARA.Ephedrus plagiator,13443.16088
NL,03APH.Sitobion avenae,04PRIMARYPARA.Ephedrus plagiator,13443.16088
RG,01PLANT.Grass sp,04PRIMARYPARA.Ephedrus plagiator,1656.870079
RG,03APH.Sitobion avenae,04PRIMARYPARA.Ephedrus plagiator,1656.870079
NL,01PLANT.Clover sp,04PRIMARYPARA.Praon dorsale?,6721.580441
NL,03APH.Acyrthosiphon pisum,04PRIMARYPARA.Praon dorsale?,6721.580441
CP,01PLANT.Creeping Buttercup,04PRIMARYPARA.Praon exoletum?,8567.602883
CP,03APH.Tubaphis ranunculina,04PRIMARYPARA.Praon exoletum?,8567.602883
WD,01PLANT.Yellow Archangel,04PRIMARYPARA.Praon exoletum?,828.6212739
WD,03APH.Aphid species 1,04PRIMARYPARA.Praon exoletum?,828.6212739
PP,01PLANT.Creeping Buttercup,04PRIMARYPARA.Praon sp nr flavinode,12326.31674
PP,03APH.Tubaphis ranunculina,04PRIMARYPARA.Praon sp nr flavinode,12326.31674
CP,01PLANT.Creeping Buttercup,04PRIMARYPARA.Praon volucre,24546.00103
CP,01PLANT.Grass sp,04PRIMARYPARA.Praon volucre,24546.00103
CP,01PLANT.zCROP Triticale,04PRIMARYPARA.Praon volucre,8567.602883
CP,01PLANT.zCROP Wheat,04PRIMARYPARA.Praon volucre,73638.0031
CP,03APH.Sitobion avenae,04PRIMARYPARA.Praon volucre,106751.607
CP,03APH.Tubaphis ranunculina,04PRIMARYPARA.Praon volucre,24546.00103
WD,01PLANT.Stinging Nettle,04PRIMARYPARA.Trioxys B,1657.242548
WD,03APH.Microlophium carnosum,04PRIMARYPARA.Trioxys B,1657.242548
CP,01PLANT.Field Forget-me-not,05SECONDARYPARA.Alloxysta victrix,8306.381444
CP,01PLANT.Grass sp,05SECONDARYPARA.Alloxysta victrix,24546.00103
CP,01PLANT.zCROP Oat winter,05SECONDARYPARA.Alloxysta victrix,8306.381444
CP,01PLANT.zCROP Wheat,05SECONDARYPARA.Alloxysta victrix,139094.0059
CP,03APH.Brachycaudus helichrysii,05SECONDARYPARA.Alloxysta victrix,8306.381444
CP,03APH.Sitobion avenae,05SECONDARYPARA.Alloxysta victrix,171946.3883
LP,01PLANT.Creeping Buttercup,05SECONDARYPARA.Alloxysta victrix,5290.604937
LP,01PLANT.Grass sp,05SECONDARYPARA.Alloxysta victrix,10581.20987
LP,03APH.Sitobion avenae,05SECONDARYPARA.Alloxysta victrix,10581.20987
LP,03APH.Tubaphis ranunculina,05SECONDARYPARA.Alloxysta victrix,5290.604937
MH,01PLANT.Grass sp,05SECONDARYPARA.Alloxysta victrix,218.8198909
MH,01PLANT.Stinging Nettle,05SECONDARYPARA.Alloxysta victrix,875.2795637
MH,03APH.Microlophium carnosum,05SECONDARYPARA.Alloxysta victrix,875.2795637
MH,03APH.Sitobion avenae,05SECONDARYPARA.Alloxysta victrix,218.8198909
NH,01PLANT.Grass sp,05SECONDARYPARA.Alloxysta victrix,145.1461744
NH,01PLANT.Hawthorn,05SECONDARYPARA.Alloxysta victrix,145.1461744
NH,03APH.Dysaphis species 1,05SECONDARYPARA.Alloxysta victrix,145.1461744
NH,03APH.Sitobion avenae,05SECONDARYPARA.Alloxysta victrix,145.1461744
NL,01PLANT.Clover sp,05SECONDARYPARA.Alloxysta victrix,67215.80441
NL,01PLANT.Grass sp,05SECONDARYPARA.Alloxysta victrix,16803.9511
NL,03APH.Acyrthosiphon pisum,05SECONDARYPARA.Alloxysta victrix,47051.06309
NL,03APH.Sitobion avenae,05SECONDARYPARA.Alloxysta victrix,16803.9511
NL,03APH.Therioaphis trifoli,05SECONDARYPARA.Alloxysta victrix,20164.74132
RG,01PLANT.Creeping Thistle,05SECONDARYPARA.Alloxysta victrix,552.2900264
RG,03APH.Uroleucon cirsii,05SECONDARYPARA.Alloxysta victrix,552.2900264
CP,01PLANT.Field Forget-me-not,05SECONDARYPARA.Asaphes suspensus,58144.67011
CP,01PLANT.zCROP Oat winter,05SECONDARYPARA.Asaphes suspensus,12459.57217
CP,01PLANT.zCROP Wheat,05SECONDARYPARA.Asaphes suspensus,212732.009
CP,03APH.Brachycaudus helichrysii,05SECONDARYPARA.Asaphes suspensus,58144.67011
CP,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes suspensus,225191.5811
NH,01PLANT.Grass sp,05SECONDARYPARA.Asaphes suspensus,580.5846976
NH,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes suspensus,580.5846976
NL,01PLANT.Clover sp,05SECONDARYPARA.Asaphes suspensus,73937.38485
NL,03APH.Acyrthosiphon pisum,05SECONDARYPARA.Asaphes suspensus,73937.38485
PP,01PLANT.Clover sp,05SECONDARYPARA.Asaphes suspensus,8217.544493
PP,01PLANT.Grass sp,05SECONDARYPARA.Asaphes suspensus,8217.544493
PP,03APH.Acyrthosiphon pisum,05SECONDARYPARA.Asaphes suspensus,8217.544493
PP,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes suspensus,8217.544493
RG,01PLANT.Grass sp,05SECONDARYPARA.Asaphes suspensus,1104.580053
RG,01PLANT.Pineappleweed,05SECONDARYPARA.Asaphes suspensus,30928.24148
RG,03APH.Brachycaudus helichrysii,05SECONDARYPARA.Asaphes suspensus,30928.24148
RG,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes suspensus,1104.580053
CP,01PLANT.zCROP Wheat,05SECONDARYPARA.Asaphes vulgaris,49092.00207
CP,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes vulgaris,49092.00206
MH,01PLANT.Blackthorn,05SECONDARYPARA.Asaphes vulgaris,328.2298364
MH,03APH.Phorodon humuli,05SECONDARYPARA.Asaphes vulgaris,328.2298364
NH,01PLANT.Grass sp,05SECONDARYPARA.Asaphes vulgaris,508.0116104
NH,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes vulgaris,508.0116103
NL,01PLANT.Clover sp,05SECONDARYPARA.Asaphes vulgaris,26886.32176
NL,03APH.Acyrthosiphon pisum,05SECONDARYPARA.Asaphes vulgaris,26886.32176
PP,01PLANT.Grass sp,05SECONDARYPARA.Asaphes vulgaris,8217.544493
PP,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes vulgaris,8217.544493
RG,01PLANT.Grass sp,05SECONDARYPARA.Asaphes vulgaris,552.2900264
RG,03APH.Sitobion avenae,05SECONDARYPARA.Asaphes vulgaris,552.2900264
NH,01PLANT.Grass sp,05SECONDARYPARA.Coruna clavata,72.57308719
NH,03APH.Sitobion avenae,05SECONDARYPARA.Coruna clavata,72.57308719
CP,01PLANT.Field Forget-me-not,05SECONDARYPARA.Dendrocerus aphidum,8306.381444
CP,01PLANT.Grass sp,05SECONDARYPARA.Dendrocerus aphidum,24546.00103
CP,03APH.Brachycaudus helichrysii,05SECONDARYPARA.Dendrocerus aphidum,8306.381444
CP,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus aphidum,24546.00103
GM,01PLANT.Grass sp,05SECONDARYPARA.Dendrocerus aphidum,1266.255575
GM,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus aphidum,1266.255575
NH,01PLANT.Grass sp,05SECONDARYPARA.Dendrocerus aphidum,145.1461744
NH,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus aphidum,145.1461744
NL,01PLANT.Grass sp,05SECONDARYPARA.Dendrocerus aphidum,10082.37066
NL,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus aphidum,10082.37066
RG,01PLANT.Grass sp,05SECONDARYPARA.Dendrocerus aphidum,3866.030185
RG,01PLANT.Pineappleweed,05SECONDARYPARA.Dendrocerus aphidum,1656.870079
RG,03APH.Brachycaudus helichrysii,05SECONDARYPARA.Dendrocerus aphidum,1656.870079
RG,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus aphidum,3866.030185
WD,01PLANT.Yellow Archangel,05SECONDARYPARA.Dendrocerus aphidum,828.6212739
WD,03APH.Aphid species 1,05SECONDARYPARA.Dendrocerus aphidum,828.6212739
CP,01PLANT.Dock sp,05SECONDARYPARA.Dendrocerus carpenteri,107982.9588
CP,01PLANT.zCROP Wheat,05SECONDARYPARA.Dendrocerus carpenteri,294552.0124
CP,03APH.Aphis rumicis,05SECONDARYPARA.Dendrocerus carpenteri,107982.9588
CP,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus carpenteri,294552.0124
GM,01PLANT.Grass sp,05SECONDARYPARA.Dendrocerus carpenteri,1688.340767
GM,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus carpenteri,1688.340767
MH,01PLANT.Blackthorn,05SECONDARYPARA.Dendrocerus carpenteri,218.8198909
MH,03APH.Phorodon humuli,05SECONDARYPARA.Dendrocerus carpenteri,218.8198909
NL,01PLANT.Clover sp,05SECONDARYPARA.Dendrocerus carpenteri,6721.580441
NL,03APH.Acyrthosiphon pisum,05SECONDARYPARA.Dendrocerus carpenteri,6721.580441
RG,01PLANT.Grass sp,05SECONDARYPARA.Dendrocerus carpenteri,552.2900264
RG,01PLANT.Pineappleweed,05SECONDARYPARA.Dendrocerus carpenteri,552.2900264
RG,03APH.Brachycaudus helichrysii,05SECONDARYPARA.Dendrocerus carpenteri,552.2900264
RG,03APH.Sitobion avenae,05SECONDARYPARA.Dendrocerus carpenteri,552.2900264
RG,01PLANT.Grass sp,05SECONDARYPARA.Pachyneuron sp,552.2900264
RG,03APH.Sitobion avenae,05SECONDARYPARA.Pachyneuron sp,552.2900264
WD,01PLANT.Field Maple,06MINERPARA.Achrysocharoides acerianus,11294.73435
MH,01PLANT.Hawthorn,06MINERPARA.Achrysocharoides atys,1312.919345
NH,01PLANT.Hawthorn,06MINERPARA.Achrysocharoides atys,217.7192616
WD,01PLANT.Oak,06MINERPARA.Achrysocharoides butus,100611.8928
WD,01PLANT.Oak,06MINERPARA.Achrysocharoides latreillei,100611.8928
MH,01PLANT.Blackthorn,06MINERPARA.Adelius sp,218.8198909
MH,01PLANT.Bramble,06MINERPARA.Adelius sp,218.8198909
RG,01PLANT.Bramble,06MINERPARA.Adelius sp,552.2900264
MH,01PLANT.Dock sp,06MINERPARA.Adelurola florimela,729.3996364
CP,01PLANT.Creeping Buttercup,06MINERPARA.Alysiinae sp,3868.264531
CP,01PLANT.Creeping Thistle,06MINERPARA.Alysiinae sp,3868.264531
GM,01PLANT.Grass sp,06MINERPARA.Alysiinae sp,1542.415586
MH,01PLANT.Grass sp,06MINERPARA.Alysiinae sp,218.8198909
NH,01PLANT.Grass sp,06MINERPARA.Alysiinae sp,145.1461744
PP,01PLANT.Grass sp,06MINERPARA.Alysiinae sp,12326.31674
RG,01PLANT.Grass sp,06MINERPARA.Alysiinae sp,552.2900264
CP,01PLANT.Creeping Buttercup,06MINERPARA.Anagrus sp A,3290.030931
WD,01PLANT.Elm sp,06MINERPARA.Anagrus sp A,4167.514518
WD,01PLANT.Lesser Burdock,06MINERPARA.Anagrus sp A,828.6212739
WD,01PLANT.Stinging Nettle,06MINERPARA.Anagrus sp A,6628.970191
MH,01PLANT.Creeping Thistle,06MINERPARA.Anagrus sp B,437.6397818
NH,01PLANT.Creeping Thistle,06MINERPARA.Anagrus sp B,72.57308719
PP,01PLANT.Creeping Thistle,06MINERPARA.Anagrus sp B,18489.47511
RG,01PLANT.Teasel,06MINERPARA.Anagrus sp C,552.2900264
MH,01PLANT.Blackthorn,06MINERPARA.Apanteles circumscriptus,583.5197092
CP,01PLANT.Creeping Buttercup,06MINERPARA.Aphanogmus microneurus,6580.061862
RG,01PLANT.Hogweed,06MINERPARA.Aphanogmus sp,552.2900264
LP,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia A,17846.22104
PP,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia A,14380.70286
CP,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia curvata,3290.030931
GM,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia curvata,6683.800874
WD,01PLANT.Grass sp,06MINERPARA.Apodesmia irregularis,3314.485096
MH,01PLANT.Hogweed,06MINERPARA.Apodesmia ocellata,218.8198909
RG,01PLANT.Hogweed,06MINERPARA.Apodesmia ocellata,552.2900264
NH,01PLANT.Dock sp,06MINERPARA.Apodesmia rufipes,96.76411626
CP,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia similis,15432.92479
GM,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia similis,10282.77058
GM,01PLANT.Grass sp,06MINERPARA.Apodesmia similis,6169.662346
LU,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia similis,6332.59044
NH,01PLANT.Creeping Buttercup,06MINERPARA.Apodesmia similis,72.57308719
NH,01PLANT.Grass sp,06MINERPARA.Apodesmia similis,72.57308719
PP,01PLANT.Grass sp,06MINERPARA.Apodesmia similis,6163.158369
SF,01PLANT.Creeping Thistle,06MINERPARA.Asaphes suspensus,6391.388622
NH,01PLANT.Creeping Buttercup,06MINERPARA.Ascogaster varipes,96.76411626
MH,01PLANT.Blackthorn,06MINERPARA.Bracon sp,218.8198909
MH,01PLANT.Dock sp,06MINERPARA.Bracon sp,218.8198909
MH,01PLANT.Elm sp,06MINERPARA.Bracon sp,218.8198909
PP,01PLANT.Common Fleabane,06MINERPARA.Bracon sp,6163.158369
RG,01PLANT.Creeping Cinquefoil,06MINERPARA.Bracon sp,1656.870079
WD,01PLANT.Grass sp,06MINERPARA.Bracon sp,1104.552158
NH,01PLANT.Creeping Thistle,06MINERPARA.Campoplex sp,96.76411626
NH,01PLANT.Sow-thistle sp,06MINERPARA.Chelonus scabrosus,96.76411626
GM,01PLANT.Creeping Thistle,06MINERPARA.Chelonus sp,1542.415586
MH,01PLANT.Creeping Thistle,06MINERPARA.Chelonus sp aff rimatus,656.4596727
MH,01PLANT.Grass sp,06MINERPARA.Chorebus A,218.8198909
CP,01PLANT.Common Field Speedwell,06MINERPARA.Chorebus amasis,7292.147203
CP,01PLANT.Wall Speedwell,06MINERPARA.Chorebus amasis,13160.12372
NH,01PLANT.Grass sp,06MINERPARA.Chorebus aphantus,403.4337917
PP,01PLANT.Grass sp,06MINERPARA.Chorebus aphantus,9244.737554
WD,01PLANT.Grass sp,06MINERPARA.Chorebus aphantus,89885.52131
CP,01PLANT.zCROP Wheat,06MINERPARA.Chorebus B,15432.92479
GM,01PLANT.Grass sp,06MINERPARA.Chorebus B,4627.246758
NH,01PLANT.Grass sp,06MINERPARA.Chorebus B,72.57308719
RG,01PLANT.Grass sp,06MINERPARA.Chorebus C,552.2900264
WD,01PLANT.Grass sp,06MINERPARA.Chorebus E,3314.485096
CP,01PLANT.Creeping Buttercup,06MINERPARA.Chorebus fallaciosae,117881.729
GM,01PLANT.Creeping Buttercup,06MINERPARA.Chorebus fallaciosae,47814.88317
LP,01PLANT.Creeping Buttercup,06MINERPARA.Chorebus fallaciosae,17846.22104
LU,01PLANT.Creeping Buttercup,06MINERPARA.Chorebus fallaciosae,18997.77132
NH,01PLANT.Creeping Buttercup,06MINERPARA.Chorebus fallaciosae,145.1461744
RG,01PLANT.Creeping Buttercup,06MINERPARA.Chorebus fallaciosae,2209.160106
WD,01PLANT.Stinging Nettle,06MINERPARA.Chorebus lateralis,828.6212739
CP,01PLANT.Sow-thistle sp,06MINERPARA.Chorebus leptogaster,18722.95572
RG,01PLANT.Teasel,06MINERPARA.Chorebus tanis,552.2900264
CP,01PLANT.Charlock,06MINERPARA.Chrysocharis chilo,4002.116272
WD,01PLANT.Oak,06MINERPARA.Chrysocharis laomedon,93502.4532
CP,01PLANT.Clover sp,06MINERPARA.Chrysocharis orbicularis,3290.030931
CP,01PLANT.Common Field Speedwell,06MINERPARA.Chrysocharis orbicularis,3290.030931
CP,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis orbicularis,15432.92479
CP,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis orbicularis,3868.264531
MH,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis orbicularis,218.8198909
WD,01PLANT.Grass sp,06MINERPARA.Chrysocharis orbicularis,3314.485096
CP,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis pentheus,15432.92479
CP,01PLANT.Sow-thistle sp,06MINERPARA.Chrysocharis pentheus,3290.030931
GM,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis pentheus,1542.415586
GM,01PLANT.Grass sp,06MINERPARA.Chrysocharis pentheus,1542.415586
LU,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis pentheus,6332.59044
LU,01PLANT.zCROP Lucerne,06MINERPARA.Chrysocharis pentheus,18997.77132
MH,01PLANT.Bramble,06MINERPARA.Chrysocharis pentheus,218.8198909
NH,01PLANT.Blackthorn,06MINERPARA.Chrysocharis pentheus,580.5846976
NH,01PLANT.Hawthorn,06MINERPARA.Chrysocharis pentheus,193.5282325
PP,01PLANT.Grass sp,06MINERPARA.Chrysocharis pentheus,6163.158369
RG,01PLANT.Hogweed,06MINERPARA.Chrysocharis pentheus,552.2900264
GM,01PLANT.Clover sp,06MINERPARA.Chrysocharis polyzo,2056.554115
GM,01PLANT.Grass sp,06MINERPARA.Chrysocharis polyzo,1542.415586
NH,01PLANT.Grass sp,06MINERPARA.Chrysocharis polyzo,232.0161598
MH,01PLANT.Blackthorn,06MINERPARA.Chrysocharis prodice,437.6397818
MH,01PLANT.Bramble,06MINERPARA.Chrysocharis prodice,218.8198909
WD,01PLANT.Bramble,06MINERPARA.Chrysocharis prodice,1657.242548
CP,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis pubicornis,3290.030931
CP,01PLANT.Sow-thistle sp,06MINERPARA.Chrysocharis pubicornis,3290.030931
GM,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis pubicornis,4627.246758
GM,01PLANT.Grass sp,06MINERPARA.Chrysocharis pubicornis,23136.23379
LP,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis pubicornis,13384.66578
LU,01PLANT.Grass sp,06MINERPARA.Chrysocharis pubicornis,12665.18088
MH,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis pubicornis,291.7598546
MH,01PLANT.Grass sp,06MINERPARA.Chrysocharis pubicornis,656.4596727
NH,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis pubicornis,459.6295522
NH,01PLANT.Grass sp,06MINERPARA.Chrysocharis pubicornis,8719.220988
PP,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis pubicornis,6163.158369
PP,01PLANT.Grass sp,06MINERPARA.Chrysocharis pubicornis,15407.89592
RG,01PLANT.Common Vetch,06MINERPARA.Chrysocharis pubicornis,552.2900264
RG,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis pubicornis,1104.580053
RG,01PLANT.Grass sp,06MINERPARA.Chrysocharis pubicornis,2761.450132
WD,01PLANT.Grass sp,06MINERPARA.Chrysocharis pubicornis,2485.863822
CP,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis viridis,3290.030931
GM,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis viridis,4627.246759
GM,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis viridis,4627.246758
GM,01PLANT.Hogweed,06MINERPARA.Chrysocharis viridis,6169.662345
LP,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis viridis,53538.66312
NH,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis viridis,241.9102906
NH,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis viridis,72.57308719
PP,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis viridis,6163.158369
RG,01PLANT.Clover sp,06MINERPARA.Chrysocharis viridis,1104.580053
RG,01PLANT.Creeping Buttercup,06MINERPARA.Chrysocharis viridis,1104.580053
RG,01PLANT.Creeping Thistle,06MINERPARA.Chrysocharis viridis,1656.870079
RG,01PLANT.Hogweed,06MINERPARA.Chrysocharis viridis,552.2900264
WD,01PLANT.Lesser Burdock,06MINERPARA.Chrysocharis viridis,2485.863822
WD,01PLANT.Oak,06MINERPARA.Cirrospilus diallus,530438.718
WD,01PLANT.Oak,06MINERPARA.Cirrospilus lyncus,128741.6674
CP,01PLANT.zCROP Barley,06MINERPARA.Cirrospilus vittatus,4002.116272
NH,01PLANT.Blackthorn,06MINERPARA.Cirrospilus vittatus,2128.810558
CP,01PLANT.Clover sp,06MINERPARA.Colastes braconius,3290.030931
MH,01PLANT.Grass sp,06MINERPARA.Colastes braconius,218.8198909
MH,01PLANT.Ground Ivy,06MINERPARA.Colastes braconius,218.8198909
MH,01PLANT.Hogweed,06MINERPARA.Colastes braconius,291.7598546
NH,01PLANT.Grass sp,06MINERPARA.Colastes braconius,157.9190377
WD,01PLANT.Bramble,06MINERPARA.Colastes braconius,828.6212739
WD,01PLANT.Grass sp,06MINERPARA.Colastes braconius,13257.94038
WD,01PLANT.Hazel,06MINERPARA.Colastes braconius,828.6212739
RG,01PLANT.Creeping Cinquefoil,06MINERPARA.Colastes sp aff braconius,1656.870079
NH,01PLANT.Grass sp,06MINERPARA.Coloneura (ate),72.57308719
CP,01PLANT.Creeping Thistle,06MINERPARA.Cyrtogaster vulgaris,6580.061862
CP,01PLANT.Grass sp,06MINERPARA.Cyrtogaster vulgaris,15432.92479
GM,01PLANT.Creeping Buttercup,06MINERPARA.Cyrtogaster vulgaris,1542.415586
LP,01PLANT.Grass sp,06MINERPARA.Cyrtogaster vulgaris,53538.66312
LU,01PLANT.Grass sp,06MINERPARA.Cyrtogaster vulgaris,6332.59044
MH,01PLANT.Creeping Thistle,06MINERPARA.Cyrtogaster vulgaris,437.6397818
MH,01PLANT.Grass sp,06MINERPARA.Cyrtogaster vulgaris,218.8198909
NH,01PLANT.Grass sp,06MINERPARA.Cyrtogaster vulgaris,1745.382747
WD,01PLANT.Grass sp,06MINERPARA.Cyrtogaster vulgaris,30066.52292
MH,01PLANT.Grass sp,06MINERPARA.Dacnusa adducta,218.8198909
CP,01PLANT.Oak,06MINERPARA.Dacnusa areolaris,6580.061862
SF,01PLANT.Sow-thistle sp,06MINERPARA.Dacnusa areolaris,6391.388622
GM,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa areolaris,1542.415586
GM,01PLANT.Grass sp,06MINERPARA.Dacnusa areolaris,21593.8182
LP,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa areolaris,13384.66578
LP,01PLANT.Grass sp,06MINERPARA.Dacnusa areolaris,13384.66578
MH,01PLANT.Grass sp,06MINERPARA.Dacnusa areolaris,656.4596727
NH,01PLANT.Grass sp,06MINERPARA.Dacnusa areolaris,3629.670383
PP,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa areolaris,6163.158369
PP,01PLANT.Grass sp,06MINERPARA.Dacnusa areolaris,18489.47511
RG,01PLANT.Grass sp,06MINERPARA.Dacnusa areolaris,4418.320211
WD,01PLANT.Grass sp,06MINERPARA.Dacnusa areolaris,40602.44243
GM,01PLANT.Hogweed,06MINERPARA.Dacnusa laevipectus,7712.07793
MH,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa laevipectus,218.8198909
NH,01PLANT.Hogweed,06MINERPARA.Dacnusa laevipectus,387.056465
RG,01PLANT.Hogweed,06MINERPARA.Dacnusa laevipectus,1104.580053
CP,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa macrospila,34236.14718
GM,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa macrospila,9254.493517
LP,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa macrospila,17846.22104
PP,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa macrospila,22598.24736
CP,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa maculipes/confinis,19301.18932
CP,01PLANT.Oak,06MINERPARA.Dacnusa maculipes/confinis,6580.061862
CP,01PLANT.zCROP Barley,06MINERPARA.Dacnusa maculipes/confinis,4002.116272
CP,01PLANT.zCROP Oat spring,06MINERPARA.Dacnusa maculipes/confinis,16008.46509
SF,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,6391.388622
SF,01PLANT.Sow-thistle sp,06MINERPARA.Dacnusa maculipes/confinis,6391.388622
GM,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa maculipes/confinis,6169.662344
GM,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,26221.06496
LP,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa maculipes/confinis,31230.88682
LP,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa maculipes/confinis,17846.22104
LP,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,66923.3289
LU,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,12665.18088
LU,01PLANT.zCROP Lucerne,06MINERPARA.Dacnusa maculipes/confinis,6332.59044
MH,01PLANT.Cow Parsley,06MINERPARA.Dacnusa maculipes/confinis,656.4596727
MH,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,3501.118254
MH,01PLANT.Spear Thistle,06MINERPARA.Dacnusa maculipes/confinis,437.6397818
NH,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa maculipes/confinis,72.57308719
NH,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,5312.204836
PP,01PLANT.Creeping Buttercup,06MINERPARA.Dacnusa maculipes/confinis,28761.40572
PP,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,83202.63799
RG,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa maculipes/confinis,1104.580053
RG,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,552.2900264
RG,01PLANT.Hogweed,06MINERPARA.Dacnusa maculipes/confinis,1656.870079
WD,01PLANT.Grass sp,06MINERPARA.Dacnusa maculipes/confinis,12547.81195
CP,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,7158.295462
SF,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,19174.16587
GM,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,50899.71434
LP,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,196308.4314
MH,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,1969.379018
MH,01PLANT.Spear Thistle,06MINERPARA.Dacnusa tarsalis,437.6397818
NH,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,1088.596308
NH,01PLANT.Spear Thistle,06MINERPARA.Dacnusa tarsalis,217.7192616
PP,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,73957.90043
RG,01PLANT.Creeping Thistle,06MINERPARA.Dacnusa tarsalis,4418.320211
WD,01PLANT.Grass sp,06MINERPARA.Dacnusa tarsalis,16572.42548
CP,01PLANT.Charlock,06MINERPARA.Dacnusa temula,16008.46509
CP,01PLANT.Creeping Buttercup,06MINERPARA.Dapsilarthra rufiventris,3868.264531
NH,01PLANT.Grass sp,06MINERPARA.Dapsilarthra rufiventris,880.2389746
