"node_from","node_to","weight","management"
4,497,6.91089779473251e-06,"E"
4,498,0.000176918983545152,"E"
4,499,1.79683342663045e-05,"E"
4,500,4.56119254452346e-05,"E"
4,501,5.64965894719383e-05,"E"
4,502,1.57222924830165e-05,"E"
4,503,2.07326933841975e-05,"E"
4,504,2.12510107188025e-05,"E"
4,505,1.03663466920988e-05,"E"
5,496,0.000602687878515631,"E"
5,497,8.0627140938546e-05,"E"
5,498,0.00206405480802678,"E"
5,499,0.00020963056644022,"E"
5,501,0.000659126877172613,"E"
5,504,0.000247928458386029,"E"
7,496,0.00584059344088785,"E"
7,497,0.000781350293095364,"E"
