"habitat","lower","upper"
"NH","01PLANT.Grass sp","06MINERPARA.Seladerma diffine"
"NH","01PLANT.Grass sp","06MINERPARA.Dapsilarthra rufiventris"
"NH","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus unguicellus"
"NH","01PLANT.Grass sp","06MINERPARA.Seladerma tarsale"
"NH","01PLANT.Grass sp","06MINERPARA.Chrysocharis polyzo"
"NH","01PLANT.Grass sp","06MINERPARA.Cyrtogaster vulgaris"
"NH","01PLANT.Grass sp","06MINERPARA.Pediobius acantha"
"NH","01PLANT.Grass sp","06MINERPARA.Pnigalio soemius"
"NH","01PLANT.Grass sp","06MINERPARA.Eulophinae sp"
"NH","01PLANT.Grass sp","06MINERPARA.Opiinae sp"
"NH","01PLANT.Grass sp","06MINERPARA.Chorebus aphantus"
"NH","01PLANT.Grass sp","06MINERPARA.Colastes braconius"
"NH","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus dropion"
"NH","01PLANT.Creeping Thistle","06MINERPARA.Chrysocharis pubicornis"
"NH","01PLANT.Creeping Buttercup","06MINERPARA.Seladerma diffine"
"NH","01PLANT.Grass sp","06MINERPARA.Epiclerus temenus"
"NH","01PLANT.Grass sp","06MINERPARA.Miscogaster maculata"
"MH","01PLANT.Grass sp","06MINERPARA.Dacnusa maculipes/confinis"
"MH","01PLANT.Grass sp","06MINERPARA.Dacnusa areolaris"
"MH","01PLANT.Creeping Thistle","06MINERPARA.Exotela spinifer"
"MH","01PLANT.Spear Thistle","06MINERPARA.Dacnusa tarsalis"
"MH","01PLANT.Cow Parsley","06MINERPARA.Dacnusa maculipes/confinis"
"MH","01PLANT.Cow Parsley","06MINERPARA.Miscogaster maculata"
"MH","01PLANT.Blackthorn","06MINERPARA.Adelius sp"
"MH","01PLANT.Grass sp","06MINERPARA.Diglyphus chabrias"
"MH","01PLANT.Spear Thistle","06MINERPARA.Dacnusa maculipes/confinis"
"MH","01PLANT.Creeping Thistle","06MINERPARA.Cyrtogaster vulgaris"
"GM","01PLANT.Clover sp","06MINERPARA.Diglyphus isaea"
"GM","01PLANT.Grass sp","06MINERPARA.Opiinae sp"
"GM","01PLANT.Creeping Buttercup","06MINERPARA.Hemiptarsenus dropion"
"GM","01PLANT.Creeping Thistle","06MINERPARA.Gelis bicolor"
"GM","01PLANT.Creeping Thistle","06MINERPARA.Exotela spinifer"
"GM","01PLANT.Grass sp","06MINERPARA.Chrysocharis pubicornis"
"GM","01PLANT.Grass sp","06MINERPARA.Miscogaster maculata"
"GM","01PLANT.Grass sp","06MINERPARA.Eulophinae sp"
"GM","01PLANT.Grass sp","06MINERPARA.Chrysocharis polyzo"
"GM","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis pentheus"
"GM","01PLANT.Grass sp","06MINERPARA.Chrysocharis pentheus"
"GM","01PLANT.Hogweed","06MINERPARA.Dacnusa laevipectus"
"GM","01PLANT.Grass sp","06MINERPARA.Chorebus B"
"GM","01PLANT.Grass sp","06MINERPARA.Seladerma diffine"
"GM","01PLANT.Grass sp","06MINERPARA.Gelis anthracinus"
"LP","01PLANT.Grass sp","06MINERPARA.Diglyphus isaea"
"LP","01PLANT.Grass sp","06MINERPARA.Dacnusa maculipes/confinis"
"LP","01PLANT.Creeping Thistle","06MINERPARA.Chrysocharis pubicornis"
"LP","01PLANT.Clover sp","06MINERPARA.Diglyphus isaea"
"LP","01PLANT.Creeping Thistle","06MINERPARA.Seladerma tarsale"
"LP","01PLANT.Grass sp","06MINERPARA.Cyrtogaster vulgaris"
"CP","01PLANT.zCROP Wheat","06MINERPARA.Chorebus B"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Chorebus leptogaster"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Diglyphus isaea"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis orbicularis"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Seladerma diffine"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Seladerma tarsale"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Dacnusa macrospila"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Eulophinae sp"
"CP","01PLANT.Grass sp","06MINERPARA.Phaedrotoma exigua"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Chorebus fallaciosae"
"CP","01PLANT.Clover sp","06MINERPARA.Chrysocharis orbicularis"
"CP","01PLANT.Wall Speedwell","06MINERPARA.Chorebus amasis"
"CP","01PLANT.Oak","06MINERPARA.Opius s.s."
"CP","01PLANT.Oak","06MINERPARA.Diglyphus isaea"
"CP","01PLANT.Oak","06MINERPARA.Dacnusa areolaris"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Chrysocharis pubicornis"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Chrysocharis pentheus"
"CP","01PLANT.Oak","06MINERPARA.Dacnusa maculipes/confinis"
"CP","01PLANT.Oak","06MINERPARA.Eulophinae sp"
"CP","01PLANT.Common Field Speedwell","06MINERPARA.Chorebus amasis"
"CP","01PLANT.Common Field Speedwell","06MINERPARA.Chrysocharis orbicularis"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Phaedrotoma exigua"
"CP","01PLANT.Creeping Thistle","06MINERPARA.Diglyphus isaea"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Hemiptarsenus dropion"
"CP","01PLANT.Charlock","06MINERPARA.Pnigalio soemius"
"CP","01PLANT.zCROP Barley","06MINERPARA.Diglyphus isaea"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Ionympha carne"
"CP","01PLANT.Charlock","06MINERPARA.Dacnusa temula"
"CP","01PLANT.Charlock","06MINERPARA.Chrysocharis chilo"
"CP","01PLANT.zCROP Barley","06MINERPARA.Cirrospilus vittatus"
"CP","01PLANT.Charlock","06MINERPARA.Diglyphus isaea"
"CP","01PLANT.zCROP Barley","06MINERPARA.Hemiptarsenus unguicellus"
"CP","01PLANT.zCROP Barley","06MINERPARA.Dacnusa maculipes/confinis"
"LU","01PLANT.Grass sp","06MINERPARA.Cyrtogaster vulgaris"
"SF","01PLANT.Creeping Thistle","06MINERPARA.Dacnusa tarsalis"
"SF","01PLANT.Creeping Thistle","06MINERPARA.Diglyphus isaea"
"RG","01PLANT.Creeping Cinquefoil","06MINERPARA.Bracon sp"
"RG","01PLANT.Grass sp","06MINERPARA.Dacnusa areolaris"
"RG","01PLANT.Grass sp","06MINERPARA.Phaedrotoma exigua"
"RG","01PLANT.Grass sp","06MINERPARA.Alysiinae sp"
"RG","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus unguicellus"
"RG","01PLANT.Grass sp","06MINERPARA.Dacnusa maculipes/confinis"
"RG","01PLANT.Grass sp","06MINERPARA.Pediobius acantha"
"RG","01PLANT.Grass sp","06MINERPARA.Miscogaster maculata"
"RG","01PLANT.Spear Thistle","06MINERPARA.Opiinae sp"
"RG","01PLANT.Grass sp","06MINERPARA.Diglyphus isaea"
"RG","01PLANT.Grass sp","06MINERPARA.Chrysocharis pubicornis"
"RG","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus fulvicollis"
"RG","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus dropion"
"RG","01PLANT.Grass sp","06MINERPARA.Eulophinae sp"
"SF","01PLANT.Grass sp","06MINERPARA.Dacnusa maculipes/confinis"
"RG","01PLANT.Grass sp","06MINERPARA.Chorebus C"
"RG","01PLANT.Creeping Buttercup","06MINERPARA.Seladerma tarsale"
"WD","01PLANT.Grass sp","06MINERPARA.Chorebus aphantus"
"WD","01PLANT.Grass sp","06MINERPARA.Cyrtogaster vulgaris"
"WD","01PLANT.Grass sp","06MINERPARA.Miscogaster maculata"
"WD","01PLANT.Grass sp","06MINERPARA.Dacnusa areolaris"
"WD","01PLANT.Grass sp","06MINERPARA.Colastes braconius"
"WD","01PLANT.Grass sp","06MINERPARA.Diglyphus isaea"
"WD","01PLANT.Grass sp","06MINERPARA.Dacnusa tarsalis"
"WD","01PLANT.Grass sp","06MINERPARA.Dacnusa maculipes/confinis"
"WD","01PLANT.Grass sp","06MINERPARA.Seladerma tarsale"
"WD","01PLANT.Grass sp","06MINERPARA.Chorebus E"
"WD","01PLANT.Grass sp","06MINERPARA.Apodesmia irregularis"
"WD","01PLANT.Grass sp","06MINERPARA.Chrysocharis orbicularis"
"WD","01PLANT.Grass sp","06MINERPARA.Seladerma diffine"
"WD","01PLANT.Grass sp","06MINERPARA.Exotela flavicoxa"
"WD","01PLANT.Grass sp","06MINERPARA.Chrysocharis pubicornis"
"WD","01PLANT.Grass sp","06MINERPARA.Dapsilarthra rufiventris"
"WD","01PLANT.Grass sp","06MINERPARA.Pediobius acantha"
"WD","01PLANT.Grass sp","06MINERPARA.Bracon sp"
"NH","01PLANT.Grass sp","06MINERPARA.Alysiinae sp"
"NH","01PLANT.Creeping Buttercup","06MINERPARA.Apodesmia similis"
"NH","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus fulvicollis"
"NH","01PLANT.Grass sp","06MINERPARA.Chorebus B"
"NH","01PLANT.Grass sp","06MINERPARA.Coloneura (ate)"
"NH","01PLANT.Hawthorn","06MINERPARA.Achrysocharoides atys"
"NH","01PLANT.Creeping Thistle","06MINERPARA.Pnigalio soemius"
"MH","01PLANT.Grass sp","06MINERPARA.Diglyphus isaea"
"MH","01PLANT.Grass sp","06MINERPARA.Alysiinae sp"
"MH","01PLANT.Honeysuckle","06MINERPARA.Diglyphus isaea"
"MH","01PLANT.Grass sp","06MINERPARA.Cyrtogaster vulgaris"
"MH","01PLANT.Grass sp","06MINERPARA.Torymus sp"
"MH","01PLANT.Grass sp","06MINERPARA.Colastes braconius"
"MH","01PLANT.Grass sp","06MINERPARA.Chrysocharis pubicornis"
"MH","01PLANT.Grass sp","06MINERPARA.Dacnusa adducta"
"MH","01PLANT.Grass sp","06MINERPARA.Chorebus A"
"MH","01PLANT.Bramble","06MINERPARA.Chrysocharis prodice"
"MH","01PLANT.Bramble","06MINERPARA.Adelius sp"
"MH","01PLANT.Creeping Thistle","06MINERPARA.Chelonus sp aff rimatus"
"MH","01PLANT.Creeping Thistle","06MINERPARA.Anagrus sp B"
"GM","01PLANT.Creeping Thistle","06MINERPARA.Chelonus sp"
"GM","01PLANT.Creeping Buttercup","06MINERPARA.Apodesmia curvata"
"GM","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis viridis"
"GM","01PLANT.Creeping Buttercup","06MINERPARA.Pnigalio soemius"
"GM","01PLANT.Clover sp","06MINERPARA.Hemiptarsenus unguicellus"
"LP","01PLANT.Grass sp","06MINERPARA.Dacnusa areolaris"
"LP","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus dropion"
"PP","01PLANT.Common Fleabane","06MINERPARA.Seladerma diffine"
"PP","01PLANT.Common Fleabane","06MINERPARA.Bracon sp"
"PP","01PLANT.Common Fleabane","06MINERPARA.Phaedrotoma exigua"
"PP","01PLANT.Grass sp","06MINERPARA.Chrysocharis pentheus"
"PP","01PLANT.Grass sp","06MINERPARA.Pnigalio soemius"
"PP","01PLANT.Grass sp","06MINERPARA.Opiinae sp"
"PP","01PLANT.Grass sp","06MINERPARA.Chorebus aphantus"
"PP","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus fulvicollis"
"PP","01PLANT.Grass sp","06MINERPARA.Eulophinae sp"
"PP","01PLANT.Grass sp","06MINERPARA.Dapsilarthra rufiventris"
"PP","01PLANT.Grass sp","06MINERPARA.Seladerma tarsale"
"PP","01PLANT.Creeping Buttercup","06MINERPARA.Exotela gilvipes"
"PP","01PLANT.Clover sp","06MINERPARA.Eulophinae sp"
"PP","01PLANT.Clover sp","06MINERPARA.Hemiptarsenus unguicellus"
"CP","01PLANT.Grass sp","06MINERPARA.Cyrtogaster vulgaris"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Dapsilarthra rufiventris"
"CP","01PLANT.Creeping Thistle","06MINERPARA.Alysiinae sp"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Apodesmia curvata"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Opius sp"
"CP","01PLANT.Clover sp","06MINERPARA.Colastes braconius"
"CP","01PLANT.Sow-thistle sp","06MINERPARA.Hemiptarsenus dropion"
"CP","01PLANT.zCROP Oat spring","06MINERPARA.Diglyphus isaea"
"CP","01PLANT.Common Field Speedwell","06MINERPARA.Phaedrotoma exigua"
"CP","01PLANT.zCROP Oat spring","06MINERPARA.Dacnusa maculipes/confinis"
"LU","01PLANT.Creeping Buttercup","06MINERPARA.Diglyphus isaea"
"LU","01PLANT.zCROP Lucerne","06MINERPARA.Pnigalio soemius"
"LU","01PLANT.zCROP Lucerne","06MINERPARA.Diglyphus isaea"
"LU","01PLANT.zCROP Lucerne","06MINERPARA.Chrysocharis pentheus"
"LU","01PLANT.zCROP Lucerne","06MINERPARA.Dacnusa maculipes/confinis"
"LU","01PLANT.Grass sp","06MINERPARA.Dacnusa maculipes/confinis"
"LU","01PLANT.Grass sp","06MINERPARA.Chrysocharis pubicornis"
"LU","01PLANT.Creeping Buttercup","06MINERPARA.Chorebus fallaciosae"
"LU","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis pentheus"
"LU","01PLANT.Creeping Buttercup","06MINERPARA.Seladerma diffine"
"LU","01PLANT.Creeping Buttercup","06MINERPARA.Apodesmia similis"
"SF","01PLANT.Creeping Thistle","06MINERPARA.Phaedrotoma exigua"
"RG","01PLANT.Hogweed","06MINERPARA.Dacnusa maculipes/confinis"
"RG","01PLANT.Hogweed","06MINERPARA.Diglyphus isaea"
"RG","01PLANT.Hogweed","06MINERPARA.Apodesmia ocellata"
"RG","01PLANT.Spear Thistle","06MINERPARA.Seladerma diffine"
"RG","01PLANT.Grass sp","06MINERPARA.Pnigalio soemius"
"RG","01PLANT.Grass sp","06MINERPARA.Forsterella sp"
"RG","01PLANT.Creeping Buttercup","06MINERPARA.Chorebus fallaciosae"
"RG","01PLANT.Creeping Buttercup","06MINERPARA.Eulophinae sp"
"RG","01PLANT.Creeping Buttercup","06MINERPARA.Diglyphus isaea"
"RG","01PLANT.Creeping Buttercup","06MINERPARA.Hemiptarsenus dropion"
"RG","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis viridis"
"RG","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis pubicornis"
"WD","01PLANT.Stinging Nettle","06MINERPARA.Chorebus lateralis"
"WD","01PLANT.Stinging Nettle","06MINERPARA.Anagrus sp A"
"WD","01PLANT.Stinging Nettle","06MINERPARA.Miscogaster hortensis"
"WD","01PLANT.Lesser Burdock","06MINERPARA.Anagrus sp A"
"WD","01PLANT.Lesser Burdock","06MINERPARA.Chrysocharis viridis"
"WD","01PLANT.Rough Chervil","06MINERPARA.Diglyphus isaea"
"WD","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus unguicellus"
"WD","01PLANT.Grass sp","06MINERPARA.Phaedrotoma variegata"
"WD","01PLANT.Grass sp","06MINERPARA.Eulophinae sp"
"WD","01PLANT.Hazel","06MINERPARA.Colastes braconius"
"NH","01PLANT.Hogweed","06MINERPARA.Dacnusa laevipectus"
"NH","01PLANT.Creeping Buttercup","06MINERPARA.Ascogaster varipes"
"NH","01PLANT.Creeping Thistle","06MINERPARA.Diglyphus isaea"
"NH","01PLANT.Creeping Thistle","06MINERPARA.Miscogaster maculata"
"NH","01PLANT.Creeping Thistle","06MINERPARA.Campoplex sp"
"MH","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus dropion"
"MH","01PLANT.Hogweed","06MINERPARA.Exotela cyclogaster"
"MH","01PLANT.Blackthorn","06MINERPARA.Chrysocharis prodice"
"MH","01PLANT.Bramble","06MINERPARA.Chrysocharis pentheus"
"MH","01PLANT.Blackthorn","06MINERPARA.Bracon sp"
"MH","01PLANT.Grass sp","06MINERPARA.Hemiptarsenus unguicellus"
"MH","01PLANT.Ground Ivy","06MINERPARA.Colastes braconius"
"MH","01PLANT.Dock sp","06MINERPARA.Adelurola florimela"
"MH","01PLANT.Dock sp","06MINERPARA.Bracon sp"
"MH","01PLANT.Hawthorn","06MINERPARA.Achrysocharoides atys"
"GM","01PLANT.Creeping Buttercup","06MINERPARA.Seladerma tarsale"
"GM","01PLANT.Creeping Buttercup","06MINERPARA.Opius sp"
"GM","01PLANT.Hogweed","06MINERPARA.Chrysocharis viridis"
"GM","01PLANT.Hogweed","06MINERPARA.Diglyphus isaea"
"GM","01PLANT.Clover sp","06MINERPARA.Chrysocharis polyzo"
"LP","01PLANT.Creeping Buttercup","06MINERPARA.Apodesmia A"
"LP","01PLANT.Creeping Buttercup","06MINERPARA.Chorebus fallaciosae"
"LP","01PLANT.Clover sp","06MINERPARA.Eulophinae sp"
"LP","01PLANT.Creeping Buttercup","06MINERPARA.Diglyphus isaea"
"LP","01PLANT.Creeping Buttercup","06MINERPARA.Dacnusa macrospila"
"LP","01PLANT.Creeping Buttercup","06MINERPARA.Seladerma diffine"
"LP","01PLANT.Creeping Thistle","06MINERPARA.Dacnusa maculipes/confinis"
"LP","01PLANT.Creeping Buttercup","06MINERPARA.Eulophinae sp"
"PP","01PLANT.Clover sp","06MINERPARA.Pnigalio soemius"
"PP","01PLANT.Creeping Buttercup","06MINERPARA.Pnigalio soemius"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Apodesmia similis"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Pnigalio soemius"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Alysiinae sp"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Aphanogmus microneurus"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Anagrus sp A"
"CP","01PLANT.Creeping Thistle","06MINERPARA.Cyrtogaster vulgaris"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis pubicornis"
"CP","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis viridis"
"SF","01PLANT.Sow-thistle sp","06MINERPARA.Dacnusa areolaris"
"SF","01PLANT.Sow-thistle sp","06MINERPARA.Dacnusa maculipes/confinis"
"SF","01PLANT.Creeping Thistle","06MINERPARA.Asaphes suspensus"
"RG","01PLANT.Teasel","06MINERPARA.Anagrus sp C"
"RG","01PLANT.Teasel","06MINERPARA.Chorebus tanis"
"RG","01PLANT.Bramble","06MINERPARA.Adelius sp"
"RG","01PLANT.Hogweed","06MINERPARA.Dacnusa laevipectus"
"RG","01PLANT.Hogweed","06MINERPARA.Chrysocharis viridis"
"RG","01PLANT.Creeping Cinquefoil","06MINERPARA.Colastes sp aff braconius"
"RG","01PLANT.Hogweed","06MINERPARA.Synopeas rhanis"
"RG","01PLANT.Hogweed","06MINERPARA.Aphanogmus sp"
"RG","01PLANT.Common Vetch","06MINERPARA.Diglyphus isaea"
"RG","01PLANT.Common Vetch","06MINERPARA.Chrysocharis pubicornis"
"RG","01PLANT.Clover sp","06MINERPARA.Chrysocharis viridis"
"RG","01PLANT.Clover sp","06MINERPARA.Eulophinae sp"
"RG","01PLANT.Clover sp","06MINERPARA.Hemiptarsenus unguicellus"
"WD","01PLANT.Bramble","06MINERPARA.Colastes braconius"
"WD","01PLANT.Bramble","06MINERPARA.Pnigalio soemius"
"WD","01PLANT.Hawthorn","06MINERPARA.Sympiesis sericeicornis"
"WD","01PLANT.Bramble","06MINERPARA.Chrysocharis prodice"
"NH","01PLANT.Dock sp","06MINERPARA.Apodesmia rufipes"
"NH","01PLANT.Blackthorn","06MINERPARA.Pnigalio soemius"
"NH","01PLANT.Blackthorn","06MINERPARA.Cirrospilus vittatus"
"NH","01PLANT.Blackthorn","06MINERPARA.Chrysocharis pentheus"
"NH","01PLANT.Blackthorn","06MINERPARA.Eulophinae sp"
"NH","01PLANT.Hawthorn","06MINERPARA.Chrysocharis pentheus"
"NH","01PLANT.Hawthorn","06MINERPARA.Pnigalio soemius"
"NH","01PLANT.Stinging Nettle","06MINERPARA.Pnigalio soemius"
"NH","01PLANT.Creeping Thistle","06MINERPARA.Hemiptarsenus dropion"
"NH","01PLANT.Sow-thistle sp","06MINERPARA.Chelonus scabrosus"
"MH","01PLANT.Blackthorn","06MINERPARA.Apanteles circumscriptus"
"MH","01PLANT.Blackthorn","06MINERPARA.Diadegma crataegi"
"MH","01PLANT.Hogweed","06MINERPARA.Colastes braconius"
"MH","01PLANT.Creeping Buttercup","06MINERPARA.Chrysocharis pubicornis"
"MH","01PLANT.Blackthorn","06MINERPARA.Microgastrinae sp"
"GM","01PLANT.Grass sp","06MINERPARA.Apodesmia similis"
"PP","01PLANT.Daisy","06MINERPARA.Desmiostoma parvulum"
"PP","01PLANT.Clover sp","06MINERPARA.Opius s.s. lugens"
"RG","01PLANT.Hogweed","06MINERPARA.Chrysocharis pentheus"
"WD","01PLANT.Stinging Nettle","06MINERPARA.Diglyphus isaea"
"WD","01PLANT.Oak","06MINERPARA.Cirrospilus lyncus"
"WD","01PLANT.Oak","06MINERPARA.Sympiesis gordius"
"WD","01PLANT.Oak","06MINERPARA.Chrysocharis laomedon"
"WD","01PLANT.Oak","06MINERPARA.Cirrospilus diallus"
"WD","01PLANT.Elm sp","06MINERPARA.Anagrus sp A"
"WD","01PLANT.Oak","06MINERPARA.Achrysocharoides latreillei"
"WD","01PLANT.Oak","06MINERPARA.Achrysocharoides butus"
"WD","01PLANT.Oak","06MINERPARA.Microgastrinae sp"
"WD","01PLANT.Field Maple","06MINERPARA.Microgastrinae sp"
"WD","01PLANT.Field Maple","06MINERPARA.Achrysocharoides acerianus"
"CP","01PLANT.Clover sp","07SEEDINVERT.Protapion apricans"
"GM","01PLANT.Creeping Thistle","07SEEDINVERT.Terellia ruficauda"
"GM","01PLANT.Clover sp","07SEEDINVERT.Protapion fulvipes"
"LP","01PLANT.Clover sp","07SEEDINVERT.Protapion fulvipes"
"LU","01PLANT.Clover sp","07SEEDINVERT.Protapion apricans"
"LU","01PLANT.Clover sp","07SEEDINVERT.Protapion assimile"
"LU","01PLANT.Clover sp","07SEEDINVERT.Protapion trifolii"
"MH","01PLANT.Hawthorn","07SEEDINVERT.Blastodacna hellerella"
"NH","01PLANT.Spear Thistle","07SEEDINVERT.Terellia serratulae"
"NH","01PLANT.Spear Thistle","07SEEDINVERT.Urophora stylata"
"PP","01PLANT.Creeping Thistle","07SEEDINVERT.Terellia ruficauda"
"PP","01PLANT.Lesser Trefoil","07SEEDINVERT.Protapion nigritarse"
"PP","01PLANT.Clover sp","07SEEDINVERT.Bruchophagus gibbus"
"PP","01PLANT.Clover sp","07SEEDINVERT.Protapion apricans"
"PP","01PLANT.Clover sp","07SEEDINVERT.Protapion trifolii"
"PP","01PLANT.Clover sp","07SEEDINVERT.Protapion fulvipes"
"RG","01PLANT.Creeping Thistle","07SEEDINVERT.Urophora stylata"
"RG","01PLANT.Spear Thistle","07SEEDINVERT.Curtonotus aulicus"
"RG","01PLANT.Spear Thistle","07SEEDINVERT.Rhinocyllus conicus"
"RG","01PLANT.Spear Thistle","07SEEDINVERT.Terellia serratulae"
"RG","01PLANT.Spear Thistle","07SEEDINVERT.Urophora stylata"
"RG","01PLANT.Clover sp","07SEEDINVERT.Protapion apricans"
"RG","01PLANT.Clover sp","07SEEDINVERT.Protapion fulvipes"
"RG","01PLANT.Clover sp","07SEEDINVERT.Protapion trifolii"
"RG","01PLANT.Common Vetch","07SEEDINVERT.Oxystoma pomonae"
"GM","01PLANT.Spear Thistle","07SEEDINVERT.Terellia serratulae"
"GM","01PLANT.Spear Thistle","07SEEDINVERT.Urophora stylata"
"MH","01PLANT.Spear Thistle","07SEEDINVERT.Terellia longicauda"
"MH","01PLANT.Spear Thistle","07SEEDINVERT.Terellia serratulae"
"RG","01PLANT.Clover sp","07SEEDINVERT.Bruchidius varius"
"RG","01PLANT.Clover sp","07SEEDINVERT.Protapion assimile"
"RG","01PLANT.Clover sp","07SEEDINVERT.Protapion varipes"
"RG","01PLANT.Clover sp","07SEEDINVERT.Sitona lineatus"
"RG","01PLANT.Clover sp","07SEEDINVERT.Sitona sulcifrons"
"RG","01PLANT.Hawthorn","07SEEDINVERT.Blastodacna hellerella"
"RG","01PLANT.Spear Thistle","07SEEDINVERT.Olibrus aeneus"
"RG","07SEEDINVERT.Bruchidius varius","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Protapion apricans","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Protapion assimile","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Protapion fulvipes","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Protapion trifolii","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Protapion varipes","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Sitona lineatus","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Sitona sulcifrons","13SFPARA.Aprostocetus sp"
"RG","07SEEDINVERT.Curtonotus aulicus","13SFPARA.Bracon immutator"
"RG","07SEEDINVERT.Olibrus aeneus","13SFPARA.Bracon immutator"
"RG","07SEEDINVERT.Rhinocyllus conicus","13SFPARA.Bracon immutator"
"RG","07SEEDINVERT.Terellia serratulae","13SFPARA.Bracon immutator"
"RG","07SEEDINVERT.Urophora stylata","13SFPARA.Bracon immutator"
"RG","07SEEDINVERT.Curtonotus aulicus","13SFPARA.Bracon osculator"
"RG","07SEEDINVERT.Olibrus aeneus","13SFPARA.Bracon osculator"
"RG","07SEEDINVERT.Rhinocyllus conicus","13SFPARA.Bracon osculator"
"RG","07SEEDINVERT.Terellia serratulae","13SFPARA.Bracon osculator"
"RG","07SEEDINVERT.Urophora stylata","13SFPARA.Bracon osculator"
"GM","07SEEDINVERT.Terellia ruficauda","13SFPARA.Bracon praecox"
"GM","07SEEDINVERT.Urophora stylata","13SFPARA.Bracon praecox"
"RG","07SEEDINVERT.Terellia serratulae","13SFPARA.Crataepus marbis"
"RG","07SEEDINVERT.Urophora stylata","13SFPARA.Crataepus marbis"
"RG","07SEEDINVERT.Curtonotus aulicus","13SFPARA.Eurytoma sp A"
"RG","07SEEDINVERT.Olibrus aeneus","13SFPARA.Eurytoma sp A"
"RG","07SEEDINVERT.Rhinocyllus conicus","13SFPARA.Eurytoma sp A"
"RG","07SEEDINVERT.Terellia serratulae","13SFPARA.Eurytoma sp A"
"RG","07SEEDINVERT.Urophora stylata","13SFPARA.Eurytoma sp A"
"RG","07SEEDINVERT.Curtonotus aulicus","13SFPARA.Eurytoma sp B"
"RG","07SEEDINVERT.Olibrus aeneus","13SFPARA.Eurytoma sp B"
"RG","07SEEDINVERT.Rhinocyllus conicus","13SFPARA.Eurytoma sp B"
"RG","07SEEDINVERT.Terellia serratulae","13SFPARA.Eurytoma sp B"
"RG","07SEEDINVERT.Urophora stylata","13SFPARA.Eurytoma sp B"
"GM","07SEEDINVERT.Protapion fulvipes","13SFPARA.Mesopolobus incultus"
"LP","07SEEDINVERT.Protapion fulvipes","13SFPARA.Mesopolobus incultus"
"LU","07SEEDINVERT.Protapion apricans","13SFPARA.Mesopolobus incultus"
"LU","07SEEDINVERT.Protapion assimile","13SFPARA.Mesopolobus incultus"
"LU","07SEEDINVERT.Protapion trifolii","13SFPARA.Mesopolobus incultus"
"PP","07SEEDINVERT.Bruchophagus gibbus","13SFPARA.Mesopolobus incultus"
"PP","07SEEDINVERT.Protapion apricans","13SFPARA.Mesopolobus incultus"
"PP","07SEEDINVERT.Protapion fulvipes","13SFPARA.Mesopolobus incultus"
"PP","07SEEDINVERT.Protapion trifolii","13SFPARA.Mesopolobus incultus"
"RG","07SEEDINVERT.Curtonotus aulicus","13SFPARA.Pterandrophysalis levantina"
"RG","07SEEDINVERT.Olibrus aeneus","13SFPARA.Pterandrophysalis levantina"
